Year,GDP,Domestic demand,Consumer expenditure household,Consumer public adm,Gross capital,Equip. Goods others,Const.,Ext. Balance ,Foreign balance ,Total exports goods and services,Exports goods and services,Foreign consump. Territory,Total imports goods and services,Imports goods and services,National residents consump. Abroad
2016,223629,196616,121449,34998,40169,24940,14443,27012,12901,84668,73532,11136,71767,68813,2954
2015,215641,189911,118176,34032,37703,23721,13508,25730,12650,81910,71181,10729,69261,66720,2540
2014,208018,181616,114235,32069,35311,22150,12848,26402,11035,77583,66933,10650,66549,64160,2388
2013,203198,177662,111596,32077,33989,20939,13129,25536,12940,75112,64757,10355,62172,59867,2305
2012,203856,183829,114317,32760,36752,21564,14834,20027,10207,73578,63932,9645,63371,61127,2244
2011,209716,191118,115228,34854,41036,22148,18659,18598,5046,69556,60526,9030,64510,62467,2043
2010,209792,194712,113859,35569,45284,23060,21820,15080,1193,62441,53938,8503,61248,59063,2185
2009,208115,195915,111997,35451,48468,22284,25123,12200,1088,55052,46979,8073,53964,51910,2054
2008,216922,209685,117445,32709,59531,25736,32901,7237,-6303,65416,56704,8712,71719,69169,2550
2007,212391,205664,114653,29674,61338,25658,34499,6726,-10972,64427,55734,8693,75399,72723,2676
2006,199169,190410,107097,26821,56492,22621,32668,8759,-9936,60811,52405,8407,70747,68286,2461
2005,183507,173189,99316,24441,49433,20041,28678,10318,-9486,55214,47192,8023,64700,62449,2251
2004,169776,158942,91997,22367,44578,18015,25326,10835,-7911,50971,43430,7541,58883,57050,1833
2003,156600,145578,84675,20262,40640,16702,22773,11022,-4473,48795,41735,7060,53268,51702,1566
2002,145813,135065,79584,18575,36906,15388,20361,10748,-2923,48685,41665,7020,51608,50189,1419
2001,137165,126110,74692,17131,34287,14924,18356,11055,-3595,47344,40743,6601,50940,49446,1494
2000,127839,117567,69916,15832,31820,14372,16329,10271,-5874,43650,37382,6268,49523,48228,1295
